<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.10.18	14:50:00	117105	117110	116985	117015	32399	116991	5
2022.10.18	14:55:00	117015	117045	116990	117030	16596	60839	5
2022.10.18	15:00:00	117025	117130	116990	117045	35603	122048	5
2022.10.18	15:05:00	117045	117125	117005	117085	25227	88955	5
2022.10.18	15:10:00	117090	117200	117015	117075	40680	140170	5
2022.10.18	15:15:00	117080	117150	116970	117035	40214	144646	5
2022.10.18	15:20:00	117030	117045	116940	117020	34650	122630	5
2022.10.18	15:25:00	117020	117155	116965	117120	34253	124118	5
2022.10.18	15:30:00	117125	117195	117080	117135	30089	105778	5
2022.10.18	15:35:00	117135	117195	116875	116875	58678	205111	5
2022.10.18	15:40:00	116875	116915	116750	116765	51552	177134	5
2022.10.18	15:45:00	116765	116795	116575	116635	58359	212496	5
2022.10.18	15:50:00	116635	116835	116590	116820	44851	166716	5
2022.10.18	15:55:00	116825	117125	116820	117090	54521	207754	5
2022.10.18	16:00:00	117090	117090	116880	117010	57852	218682	5
2022.10.18	16:05:00	117010	117170	116930	116930	54754	211360	5
2022.10.18	16:10:00	116930	117020	116900	116970	31864	110188	5
2022.10.18	16:15:00	116975	117160	116955	117105	44856	163232	5
2022.10.18	16:20:00	117105	117330	117015	117295	53572	200734	5
2022.10.18	16:25:00	117295	117375	117145	117275	52010	189715	5
2022.10.18	16:30:00	117280	117685	117210	117615	65357	247535	5
2022.10.18	16:35:00	117610	117680	117510	117605	39505	150480	5
2022.10.18	16:40:00	117605	117750	117580	117670	43599	161010	5
2022.10.18	16:45:00	117670	117720	117565	117600	29151	109290	5
2022.10.18	16:50:00	117600	117705	117520	117575	38017	138562	5
2022.10.18	16:55:00	117575	117825	117495	117800	44058	154359	5
2022.10.18	17:00:00	117805	117975	117740	117925	59507	215238	5
2022.10.18	17:05:00	117925	117955	117800	117820	24886	79646	5
2022.10.18	17:10:00	117820	117925	117805	117905	17326	68023	5
2022.10.18	17:15:00	117910	117965	117865	117950	14033	53350	5
2022.10.18	17:20:00	117945	117955	117830	117910	16413	56888	5
2022.10.18	17:25:00	117905	117940	117840	117895	12948	42473	5
2022.10.18	17:30:00	117895	118050	117890	118030	23245	78124	5
2022.10.18	17:35:00	118025	118160	118020	118120	20635	64441	5
2022.10.18	17:40:00	118120	118230	118070	118145	28342	73059	5
2022.10.18	17:45:00	118145	118250	118140	118235	15054	43547	5
2022.10.18	17:50:00	118235	118260	118150	118150	9791	36811	5
2022.10.19	09:00:00	117500	117560	117265	117315	55087	136269	5
2022.10.19	09:05:00	117315	117335	117140	117245	46167	128425	5
2022.10.19	09:10:00	117245	117380	117240	117370	43390	129257	5
2022.10.19	09:15:00	117370	117495	117330	117330	53753	152671	5
2022.10.19	09:20:00	117330	117480	117300	117465	38380	106891	5
2022.10.19	09:25:00	117460	117535	117390	117440	44590	122469	5
2022.10.19	09:30:00	117440	117475	117280	117405	64166	184761	5
2022.10.19	09:35:00	117400	117480	117350	117445	31960	94916	5
2022.10.19	09:40:00	117445	117610	117405	117415	67288	210431	5
2022.10.19	09:45:00	117420	117545	117410	117535	35998	117059	5
2022.10.19	09:50:00	117535	117685	117485	117610	69223	219124	5
2022.10.19	09:55:00	117615	117855	117610	117825	71411	241773	5
2022.10.19	10:00:00	117825	117970	117765	117805	94331	293381	5
2022.10.19	10:05:00	117805	117905	117710	117750	70193	213297	5
2022.10.19	10:10:00	117750	117945	117670	117730	86549	281068	5
2022.10.19	10:15:00	117730	117870	117690	117865	51103	163633	5
2022.10.19	10:20:00	117865	117910	117715	117795	52850	176218	5
2022.10.19	10:25:00	117790	117795	117405	117460	94998	309556	5
2022.10.19	10:30:00	117460	117765	117365	117755	126947	438218	5
2022.10.19	10:35:00	117750	118170	117745	118030	131783	483011	5
2022.10.19	10:40:00	118030	118075	117540	117565	119000	398368	5
2022.10.19	10:45:00	117565	117660	117290	117295	118467	394762	5
2022.10.19	10:50:00	117295	117595	117285	117580	91195	313915	5
2022.10.19	10:55:00	117580	117725	117490	117635	88462	296679	5
2022.10.19	11:00:00	117635	117780	117520	117645	90866	321927	5
2022.10.19	11:05:00	117645	117790	117585	117700	60626	217393	5
2022.10.19	11:10:00	117700	117860	117570	117840	60388	219589	5
2022.10.19	11:15:00	117840	118070	117835	118060	70824	255610	5
2022.10.19	11:20:00	118060	118360	118010	118330	78961	306103	5
2022.10.19	11:25:00	118330	118340	118165	118200	51810	177810	5
2022.10.19	11:30:00	118200	118270	118060	118080	52474	170348	5
2022.10.19	11:35:00	118080	118285	118040	118280	48837	162281	5
2022.10.19	11:40:00	118275	118285	118055	118185	52205	168602	5
2022.10.19	11:45:00	118185	118220	118020	118080	48178	159966	5
2022.10.19	11:50:00	118080	118145	117860	117870	58596	198240	5
2022.10.19	11:55:00	117870	117885	117690	117835	60417	207737	5
2022.10.19	12:00:00	117835	117935	117715	117795	57342	187509	5
2022.10.19	12:05:00	117795	117970	117785	117880	49337	169711	5
2022.10.19	12:10:00	117880	118035	117855	117890	49177	161992	5
2022.10.19	12:15:00	117885	117960	117795	117920	42268	141102	5
2022.10.19	12:20:00	117915	117965	117770	117785	33929	113166	5
2022.10.19	12:25:00	117785	117800	117615	117730	52037	173292	5
2022.10.19	12:30:00	117735	117810	117615	117785	51634	182857	5
2022.10.19	12:35:00	117780	117920	117665	117920	43129	150636	5
2022.10.19	12:40:00	117920	118000	117850	117965	40523	135542	5
2022.10.19	12:45:00	117965	118110	117905	118055	39036	132387	5
2022.10.19	12:50:00	118055	118140	117985	118010	33449	115855	5
2022.10.19	12:55:00	118015	118085	117930	117935	36075	130001	5
2022.10.19	13:00:00	117940	118010	117815	117920	45625	163493	5
2022.10.19	13:05:00	117915	117995	117870	117920	30552	113737	5
2022.10.19	13:10:00	117920	118010	117870	117970	32595	119506	5
2022.10.19	13:15:00	117970	118065	117935	118045	30196	108596	5
2022.10.19	13:20:00	118045	118170	118025	118090	35269	126162	5
2022.10.19	13:25:00	118090	118090	117740	117795	58761	222299	5
2022.10.19	13:30:00	117795	117935	117780	117900	37931	147606	5
2022.10.19	13:35:00	117900	118025	117860	117870	43965	175819	5
2022.10.19	13:40:00	117870	117905	117675	117745	46015	169836	5
2022.10.19	13:45:00	117745	117795	117650	117780	38647	138544	5
2022.10.19	13:50:00	117780	117860	117750	117845	29837	106281	5
2022.10.19	13:55:00	117845	117865	117765	117840	25789	90454	5
2022.10.19	14:00:00	117840	117955	117625	117670	60265	213961	5
2022.10.19	14:05:00	117675	117830	117635	117805	44634	166533	5
2022.10.19	14:10:00	117800	117855	117755	117810	28771	112729	5
2022.10.19	14:15:00	117805	117840	117780	117830	19318	80209	5
2022.10.19	14:20:00	117830	117940	117800	117925	38964	148396	5
2022.10.19	14:25:00	117925	117985	117865	117870	34357	124712	5
2022.10.19	14:30:00	117870	117955	117810	117910	32273	116140	5
2022.10.19	14:35:00	117915	117920	117710	117750	36271	130107	5
2022.10.19	14:40:00	117750	117915	117690	117900	37826	134445	5
2022.10.19	14:45:00	117900	117935	117855	117885	21101	76688	5
2022.10.19	14:50:00	117885	117990	117800	117960	33948	119758	5
2022.10.19	14:55:00	117955	117985	117855	117855	25959	95557	5
2022.10.19	15:00:00	117855	117920	117780	117845	44617	181352	5
2022.10.19	15:05:00	117855	118110	117820	118045	45386	169576	5
2022.10.19	15:10:00	118045	118045	117925	117970	30518	115787	5
2022.10.19	15:15:00	117970	118075	117955	117975	31405	117730	5
2022.10.19	15:20:00	117980	117990	117845	117975	32795	121077	5
2022.10.19	15:25:00	117970	118035	117890	117990	32480	123271	5
2022.10.19	15:30:00	117990	118045	117900	117910	27807	104372	5
2022.10.19	15:35:00	117910	117990	117885	117905	23645	89135	5
2022.10.19	15:40:00	117905	117960	117800	117800	29673	115095	5
2022.10.19	15:45:00	117800	117880	117765	117780	32217	124119	5
2022.10.19	15:50:00	117785	117915	117755	117915	29922	114185	5
2022.10.19	15:55:00	117910	117915	117825	117865	22317	83650	5
2022.10.19	16:00:00	117865	117985	117820	117820	36256	136912	5
2022.10.19	16:05:00	117820	117965	117785	117945	31717	123881	5
2022.10.19	16:10:00	117945	118005	117910	117920	27309	103141	5
2022.10.19	16:15:00	117920	118450	117915	118440	75173	298673	5
2022.10.19	16:20:00	118440	118520	118335	118350	48182	184210	5
2022.10.19	16:25:00	118345	118365	118095	118150	40161	162752	5
2022.10.19	16:30:00	118155	118355	118080	118345	45622	172221	5
2022.10.19	16:35:00	118345	118445	118255	118390	43114	153596	5
2022.10.19	16:40:00	118395	118565	118370	118400	42698	156660	5
2022.10.19	16:45:00	118400	118410	118275	118340	39412	149395	5
2022.10.19	16:50:00	118340	118380	118240	118365	33409	130182	5
2022.10.19	16:55:00	118365	118490	118350	118470	27330	98862	5
2022.10.19	17:00:00	118470	118530	118400	118455	27796	94693	5
2022.10.19	17:05:00	118455	118515	118150	118280	48188	163830	5
2022.10.19	17:10:00	118275	118355	118200	118320	27007	83112	5
2022.10.19	17:15:00	118325	118330	118205	118315	20271	66613	5
2022.10.19	17:20:00	118315	118315	118220	118255	14595	47802	5
2022.10.19	17:25:00	118255	118270	118085	118130	21387	69747	5
2022.10.19	17:30:00	118125	118300	118115	118225	24068	70604	5
2022.10.19	17:35:00	118230	118370	118210	118350	19961	59908	5
2022.10.19	17:40:00	118345	118395	118285	118305	16851	49115	5
2022.10.19	17:45:00	118305	118490	118295	118435	16964	53952	5
2022.10.19	17:50:00	118440	118475	118220	118255	9431	37447	5
2022.10.20	09:00:00	118860	119290	118800	119280	80965	195273	5
2022.10.20	09:05:00	119280	119340	119170	119240	50597	138007	5
2022.10.20	09:10:00	119240	119265	119155	119230	31623	96085	5
2022.10.20	09:15:00	119230	119370	119190	119330	40840	114772	5
2022.10.20	09:20:00	119330	119515	119310	119475	58026	171057	5
2022.10.20	09:25:00	119475	119510	119420	119485	27585	73422	5
2022.10.20	09:30:00	119485	119680	119410	119525	86196	242553	5
2022.10.20	09:35:00	119525	119535	119380	119470	54875	166702	5
2022.10.20	09:40:00	119465	119580	119440	119465	56302	176808	5
2022.10.20	09:45:00	119460	119620	119455	119605	40432	131705	5
2022.10.20	09:50:00	119605	119660	119460	119480	50112	163097	5
2022.10.20	09:55:00	119485	119505	119210	119210	72467	239510	5
2022.10.20	10:00:00	119210	119350	119165	119195	74078	242017	5
2022.10.20	10:05:00	119200	119320	119160	119235	63200	208210	5
2022.10.20	10:10:00	119235	119235	119020	119075	73459	235078	5
2022.10.20	10:15:00	119075	119275	119050	119210	61573	191049	5
2022.10.20	10:20:00	119215	119245	119000	119025	56154	174453	5
2022.10.20	10:25:00	119025	119040	118845	118865	62831	199104	5
2022.10.20	10:30:00	118860	119085	118815	119015	113091	369044	5
2022.10.20	10:35:00	119015	119135	118865	118970	104254	354147	5
2022.10.20	10:40:00	118965	119075	118840	118950	83938	280497	5
2022.10.20	10:45:00	118955	119125	118895	118945	75267	262369	5
2022.10.20	10:50:00	118945	119185	118930	119100	70336	238621	5
2022.10.20	10:55:00	119100	119155	118790	118825	69940	231597	5
2022.10.20	11:00:00	118825	118990	118760	118960	98247	341742	5
2022.10.20	11:05:00	118955	119155	118900	119135	70859	252697	5
2022.10.20	11:10:00	119135	119325	119110	119205	77251	269552	5
2022.10.20	11:15:00	119200	119405	119165	119385	71250	237624	5
2022.10.20	11:20:00	119380	119430	119310	119325	44943	162553	5
2022.10.20	11:25:00	119325	119375	119225	119360	55045	191972	5
2022.10.20	11:30:00	119360	119425	119195	119260	59117	210897	5
2022.10.20	11:35:00	119255	119295	119145	119265	46925	161853	5
2022.10.20	11:40:00	119260	119310	119040	119090	63949	223698	5
2022.10.20	11:45:00	119095	119325	119070	119280	54417	196049	5
2022.10.20	11:50:00	119285	119305	119170	119190	41520	145678	5
2022.10.20	11:55:00	119185	119445	119180	119415	54314	185649	5
2022.10.20	12:00:00	119415	119415	119240	119255	41576	143103	5
2022.10.20	12:05:00	119260	119335	119170	119230	34977	115386	5
2022.10.20	12:10:00	119235	119405	119205	119380	34996	115378	5
2022.10.20	12:15:00	119385	119405	119220	119270	33811	111255	5
2022.10.20	12:20:00	119270	119350	119230	119305	25677	81334	5
2022.10.20	12:25:00	119310	119385	119155	119190	41319	140618	5
2022.10.20	12:30:00	119190	119300	119160	119175	36952	124575	5
2022.10.20	12:35:00	119175	119275	119135	119215	35542	113754	5
2022.10.20	12:40:00	119220	119225	119090	119150	30435	99970	5
2022.10.20	12:45:00	119155	119160	118945	118975	39982	130428	5
2022.10.20	12:50:00	118970	119000	118815	118825	45545	171121	5
2022.10.20	12:55:00	118830	118910	118730	118750	50063	177542	5
2022.10.20	13:00:00	118755	118815	118595	118655	52419	184408	5
2022.10.20	13:05:00	118655	118695	118525	118590	40587	148169	5
2022.10.20	13:10:00	118585	118715	118570	118675	35269	123613	5
2022.10.20	13:15:00	118670	118785	118650	118750	32340	116753	5
2022.10.20	13:20:00	118745	118835	118680	118770	49021	176204	5
2022.10.20	13:25:00	118765	118825	118690	118750	33586	126216	5
2022.10.20	13:30:00	118745	118870	118725	118795	36026	133643	5
2022.10.20	13:35:00	118800	118835	118710	118755	32333	120122	5
2022.10.20	13:40:00	118760	118925	118750	118840	39223	138793	5
2022.10.20	13:45:00	118835	118845	118680	118760	37520	125224	5
2022.10.20	13:50:00	118765	118810	118630	118680	35550	118469	5
2022.10.20	13:55:00	118680	118775	118620	118765	31525	108081	5
2022.10.20	14:00:00	118770	118775	118650	118710	24644	82296	5
2022.10.20	14:05:00	118715	118715	118465	118525	53759	190205	5
2022.10.20	14:10:00	118520	118700	118485	118635	43824	157380	5
2022.10.20	14:15:00	118635	118715	118590	118665	34884	124905	5
2022.10.20	14:20:00	118660	118805	118645	118755	35176	128399	5
2022.10.20	14:25:00	118755	118855	118750	118760	29775	104813	5
2022.10.20	14:30:00	118765	119050	118705	118950	66671	252815	5
2022.10.20	14:35:00	118950	119000	118875	118885	31371	114473	5
2022.10.20	14:40:00	118885	118975	118815	118865	39901	145469	5
2022.10.20	14:45:00	118865	118935	118820	118855	34811	138580	5
2022.10.20	14:50:00	118860	118935	118750	118935	44043	169618	5
2022.10.20	14:55:00	118935	119080	118910	119070	35197	126692	5
2022.10.20	15:00:00	119070	119075	118880	118925	39813	147097	5
2022.10.20	15:05:00	118925	118945	118775	118840	35796	133435	5
2022.10.20	15:10:00	118840	118865	118730	118775	30061	115170	5
2022.10.20	15:15:00	118770	118860	118745	118790	28668	109416	5
2022.10.20	15:20:00	118790	118825	118680	118715	45412	157715	5
2022.10.20	15:25:00	118715	118800	118680	118750	28836	104584	5
2022.10.20	15:30:00	118755	118955	118710	118945	44206	165275	5
2022.10.20	15:35:00	118950	118955	118790	118825	34512	122576	5
2022.10.20	15:40:00	118820	118830	118730	118750	31101	114047	5
2022.10.20	15:45:00	118750	118835	118690	118785	37167	135137	5
2022.10.20	15:50:00	118785	119030	118785	119010	39172	154091	5
2022.10.20	15:55:00	119010	119275	119000	119055	58255	222508	5
2022.10.20	16:00:00	119055	119295	119050	119270	48303	187131	5
2022.10.20	16:05:00	119265	119320	119165	119210	43189	167485	5
2022.10.20	16:10:00	119215	119245	119100	119185	32853	120923	5
2022.10.20	16:15:00	119185	119205	119055	119060	27369	103957	5
2022.10.20	16:20:00	119055	119070	118975	119030	30093	111731	5
2022.10.20	16:25:00	119030	119065	118885	119000	41212	161103	5
2022.10.20	16:30:00	119000	119025	118900	118945	29691	121676	5
2022.10.20	16:35:00	118940	119145	118925	119120	32226	130119	5
2022.10.20	16:40:00	119120	119230	119075	119195	31689	130042	5
2022.10.20	16:45:00	119200	119210	119080	119130	36875	142215	5
2022.10.20	16:50:00	119125	119280	119115	119210	40115	158241	5
2022.10.20	16:55:00	119210	119295	119130	119185	32786	132221	5
2022.10.20	17:00:00	119180	119360	119170	119220	35060	130733	5
2022.10.20	17:05:00	119220	119255	119110	119125	21544	77638	5
2022.10.20	17:10:00	119120	119145	119030	119085	35518	133136	5
2022.10.20	17:15:00	119085	119130	118935	118980	23945	89240	5
2022.10.20	17:20:00	118980	119045	118920	119005	15151	53752	5
2022.10.20	17:25:00	119000	119035	118955	118990	12435	46072	5
2022.10.20	17:30:00	118995	119030	118950	118990	10257	33666	5
2022.10.20	17:35:00	118995	119005	118940	118970	7172	29916	5
2022.10.20	17:40:00	118970	118995	118830	118900	15115	53623	5
2022.10.20	17:45:00	118900	118915	118860	118895	7798	24593	5
2022.10.20	17:50:00	118885	118980	118855	118950	7422	33249	5
2022.10.21	09:00:00	118385	118825	118360	118725	72344	164578	5
2022.10.21	09:05:00	118725	118850	118690	118770	42832	118696	5
2022.10.21	09:10:00	118775	118810	118700	118715	25795	74446	5
2022.10.21	09:15:00	118715	118720	118560	118635	50620	144813	5
2022.10.21	09:20:00	118635	118760	118590	118650	48419	141461	5
2022.10.21	09:25:00	118650	118730	118590	118635	30507	88803	5
2022.10.21	09:30:00	118630	118635	118500	118595	49580	153732	5
2022.10.21	09:35:00	118595	118670	118510	118550	45059	145426	5
2022.10.21	09:40:00	118545	118615	118500	118590	28690	92623	5
2022.10.21	09:45:00	118595	118605	118385	118405	47131	146010	5
2022.10.21	09:50:00	118405	118420	118280	118395	60294	186631	5
2022.10.21	09:55:00	118390	118720	118305	118620	84992	258615	5
2022.10.21	10:00:00	118620	119000	118610	118840	115988	378834	5
2022.10.21	10:05:00	118840	119175	118830	119090	92591	297908	5
2022.10.21	10:10:00	119095	119155	118725	118795	89037	281999	5
2022.10.21	10:15:00	118800	118880	118680	118710	66786	199349	5
2022.10.21	10:20:00	118710	118885	118620	118880	83339	263770	5
2022.10.21	10:25:00	118875	119095	118870	118950	82921	260078	5
2022.10.21	10:30:00	118955	119230	118835	119150	144435	456853	5
2022.10.21	10:35:00	119150	119350	119055	119270	130011	452903	5
2022.10.21	10:40:00	119270	119515	119145	119455	123624	427628	5
2022.10.21	10:45:00	119460	119695	119430	119620	117760	412463	5
2022.10.21	10:50:00	119625	119715	119515	119690	92562	316418	5
2022.10.21	10:55:00	119690	119885	119640	119870	80652	280157	5
2022.10.21	11:00:00	119870	120030	119835	119955	89536	327549	5
2022.10.21	11:05:00	119960	120285	119905	120205	90450	342360	5
2022.10.21	11:10:00	120205	120425	120195	120320	74633	276943	5
2022.10.21	11:15:00	120320	120350	120120	120145	59353	209266	5
2022.10.21	11:20:00	120145	120200	120010	120020	55769	194740	5
2022.10.21	11:25:00	120020	120120	119990	120000	43920	155659	5
2022.10.21	11:30:00	120000	120135	119935	119950	59605	210168	5
2022.10.21	11:35:00	119955	120100	119875	120075	77330	285853	5
2022.10.21	11:40:00	120075	120170	119970	120105	79135	267533	5
2022.10.21	11:45:00	120100	120240	120060	120210	64970	216839	5
2022.10.21	11:50:00	120210	120270	120150	120205	58150	193875	5
2022.10.21	11:55:00	120200	120225	120015	120135	64082	206037	5
2022.10.21	12:00:00	120135	120150	119915	119990	65990	233756	5
2022.10.21	12:05:00	119985	120000	119855	119985	56642	202416	5
2022.10.21	12:10:00	119980	120085	119895	120030	65136	242327	5
2022.10.21	12:15:00	120025	120120	120005	120100	46739	158210	5
2022.10.21	12:20:00	120100	120205	120065	120150	50360	172058	5
2022.10.21	12:25:00	120150	120230	120100	120145	42742	137761	5
2022.10.21	12:30:00	120145	120225	120110	120150	32658	109292	5
2022.10.21	12:35:00	120155	120175	120035	120115	35626	116211	5
2022.10.21	12:40:00	120120	120295	120110	120200	45853	147817	5
2022.10.21	12:45:00	120195	120270	120155	120245	40722	128604	5
2022.10.21	12:50:00	120240	120280	120175	120255	33673	115877	5
2022.10.21	12:55:00	120255	120375	120220	120365	49355	171186	5
2022.10.21	13:00:00	120365	120590	120360	120485	67146	237645	5
2022.10.21	13:05:00	120490	120555	120415	120505	40242	132190	5
2022.10.21	13:10:00	120505	120540	120460	120515	31136	108156	5
2022.10.21	13:15:00	120520	120575	120460	120495	33507	108775	5
2022.10.21	13:20:00	120490	120660	120455	120645	41319	138494	5
2022.10.21	13:25:00	120645	120710	120575	120575	52902	182927	5
2022.10.21	13:30:00	120575	120700	120575	120675	30272	100650	5
2022.10.21	13:35:00	120680	120785	120575	120620	50945	173173	5
2022.10.21	13:40:00	120615	120695	120590	120655	25737	80624	5
2022.10.21	13:45:00	120655	120700	120600	120600	24992	84310	5
2022.10.21	13:50:00	120600	120655	120590	120620	17799	58739	5
2022.10.21	13:55:00	120620	120630	120515	120545	29552	102344	5
2022.10.21	14:00:00	120545	120655	120520	120645	26634	92856	5
2022.10.21	14:05:00	120640	120840	120610	120775	56261	211410	5
2022.10.21	14:10:00	120775	120965	120770	120935	44212	174188	5
2022.10.21	14:15:00	120935	121110	120935	120985	46978	178551	5
2022.10.21	14:20:00	120985	121030	120840	120840	34344	126483	5
2022.10.21	14:25:00	120840	121015	120835	120970	29730	106934	5
2022.10.21	14:30:00	120970	120995	120885	120900	26015	91168	5
2022.10.21	14:35:00	120900	120970	120880	120960	19413	67473	5
2022.10.21	14:40:00	120965	121175	120950	121060	48145	173615	5
2022.10.21	14:45:00	121065	121270	121060	121270	40858	138507	5
2022.10.21	14:50:00	121270	121340	121240	121270	38597	135799	5
2022.10.21	14:55:00	121275	121285	121185	121235	28627	102865	5
2022.10.21	15:00:00	121235	121535	121225	121510	57774	213723	5
