<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.06.07	14:00:00	130970	130995	130770	130895	296874	1383740	5
2021.06.07	15:00:00	130895	131360	130885	131280	347360	1737881	5
2021.06.07	16:00:00	131285	131290	130715	130820	336796	1709472	5
2021.06.07	17:00:00	130815	130920	130515	130515	153846	681045	5
2021.06.08	09:00:00	130605	130895	130600	130840	445818	1604720	5
2021.06.08	10:00:00	130845	130860	129960	130085	910265	3942910	5
2021.06.08	11:00:00	130085	130640	130060	130490	573956	2599589	5
2021.06.08	12:00:00	130490	130875	130340	130600	518293	2459956	5
2021.06.08	13:00:00	130600	130625	130030	130295	478188	2312553	5
2021.06.08	14:00:00	130295	130295	129895	130020	322945	1562466	5
2021.06.08	15:00:00	130025	130095	129320	129595	492077	2467097	5
2021.06.08	16:00:00	129595	130045	129590	129975	370860	1870391	5
2021.06.08	17:00:00	129975	130025	129600	130025	212167	885934	5
2021.06.09	09:00:00	130040	130140	129695	129920	462394	1679693	5
2021.06.09	10:00:00	129920	130130	129365	130110	1014551	4387947	5
2021.06.09	11:00:00	130110	130300	129815	130045	708484	3236736	5
2021.06.09	12:00:00	130045	130930	129995	130840	551480	2617044	5
2021.06.09	13:00:00	130840	130960	130440	130595	412985	1873734	5
2021.06.09	14:00:00	130590	130810	130415	130605	392632	1853405	5
2021.06.09	15:00:00	130600	130680	129865	130110	520087	2495058	5
2021.06.09	16:00:00	130105	130310	129805	129925	382291	1887419	5
2021.06.09	17:00:00	129925	130050	129645	129765	157355	676070	5
2021.06.10	09:00:00	129800	130440	129700	130365	646996	2383831	5
2021.06.10	10:00:00	130365	130525	129885	130010	925896	4062985	5
2021.06.10	11:00:00	130010	130440	129525	129750	822203	3658544	5
2021.06.10	12:00:00	129750	130045	129640	130010	447950	1970493	5
2021.06.10	13:00:00	130010	130025	129500	129975	449917	2038349	5
2021.06.10	14:00:00	129975	130660	129970	130325	530962	2505046	5
2021.06.10	15:00:00	130325	130640	130225	130510	414047	1912077	5
2021.06.10	16:00:00	130505	130520	130090	130210	359813	1696052	5
2021.06.10	17:00:00	130215	130270	130005	130100	158193	636882	5
2021.06.11	09:00:00	130385	130425	129865	130175	518497	1768729	5
2021.06.11	10:00:00	130170	130325	129655	129670	686683	2712115	5
2021.06.11	11:00:00	129670	129895	129070	129350	656698	2704317	5
2021.06.11	12:00:00	129355	129490	128905	129070	448684	1897852	5
2021.06.11	13:00:00	129070	129135	128640	128980	353816	1474412	5
2021.06.11	14:00:00	128980	129350	128890	129290	331780	1379401	5
2021.06.11	15:00:00	129285	129305	128930	129290	285627	1293162	5
2021.06.11	16:00:00	129285	129440	129150	129395	238813	1118298	5
2021.06.11	17:00:00	129395	129600	129315	129560	128866	518930	5
2021.06.14	09:00:00	129760	130195	129690	130050	388368	1364853	5
2021.06.14	10:00:00	130050	130760	130020	130710	735520	3068111	5
2021.06.14	11:00:00	130710	131150	130485	131120	551317	2443582	5
2021.06.14	12:00:00	131120	131135	130670	130825	387011	1696317	5
2021.06.14	13:00:00	130820	130840	130230	130350	417164	1945960	5
2021.06.14	14:00:00	130350	130410	129940	130005	398883	1892502	5
2021.06.14	15:00:00	130005	130140	129650	130060	404603	2044339	5
2021.06.14	16:00:00	130055	130200	129835	130195	369663	1850732	5
2021.06.14	17:00:00	130200	130345	130130	130210	163389	691326	5
2021.06.15	09:00:00	130380	130385	129865	130155	644884	2246198	5
2021.06.15	10:00:00	130150	130330	129730	130135	1033850	4167265	5
2021.06.15	11:00:00	130140	130265	129625	130100	717103	3167301	5
2021.06.15	12:00:00	130100	130140	129235	129510	574227	2655803	5
2021.06.15	13:00:00	129510	129970	129440	129960	397017	1867982	5
2021.06.15	14:00:00	129965	130200	129655	130105	481299	2182284	5
2021.06.15	15:00:00	130110	130195	129875	130080	394718	1813044	5
2021.06.15	16:00:00	130080	130140	129935	130115	287071	1437166	5
2021.06.15	17:00:00	130115	130150	130015	130075	102425	442011	5
2021.06.16	09:00:00	130705	131020	130580	130995	413894	1490045	5
2021.06.16	10:00:00	131000	131120	130455	130470	781299	3295985	5
2021.06.16	11:00:00	130465	130675	130255	130640	550230	2473484	5
2021.06.16	12:00:00	130635	130790	130415	130600	418852	1995180	5
2021.06.16	13:00:00	130605	131145	130530	131095	380537	1865148	5
2021.06.16	14:00:00	131095	131165	130260	130855	568528	2798232	5
2021.06.16	15:00:00	130855	130855	129085	129750	905940	3901274	5
2021.06.16	16:00:00	129750	130565	129625	129935	471687	2238928	5
2021.06.16	17:00:00	129935	130090	129855	129945	136482	545170	5
2021.06.17	09:00:00	129850	130000	129415	129560	467501	1656835	5
2021.06.17	10:00:00	129560	130745	129545	130425	885669	3721324	5
2021.06.17	11:00:00	130425	130630	130115	130325	623318	2781952	5
2021.06.17	12:00:00	130325	130405	129175	129205	691017	3147535	5
2021.06.17	13:00:00	129205	129325	128600	129035	606287	2710819	5
2021.06.17	14:00:00	129035	129380	128930	129255	450037	2030705	5
2021.06.17	15:00:00	129250	129375	128325	128380	475232	2190404	5
2021.06.17	16:00:00	128380	128900	128375	128675	374800	1833854	5
2021.06.17	17:00:00	128675	129290	128665	129290	195416	782865	5
2021.06.18	09:00:00	129350	129520	128355	128730	603140	2175408	5
2021.06.18	10:00:00	128730	129095	128390	128520	995554	3974473	5
2021.06.18	11:00:00	128525	129085	128250	128940	758751	3296732	5
2021.06.18	12:00:00	128940	129050	128450	128590	480950	2123951	5
2021.06.18	13:00:00	128590	128725	128275	128565	352312	1638141	5
2021.06.18	14:00:00	128565	129120	128400	129120	426262	1990562	5
2021.06.18	15:00:00	129120	129580	128845	128870	514949	2348251	5
2021.06.18	16:00:00	128865	129190	128725	129050	401983	1876279	5
2021.06.18	17:00:00	129050	129055	128470	128510	187378	767414	5
2021.06.21	09:00:00	128995	129440	128850	129330	476505	1606299	5
2021.06.21	10:00:00	129335	129340	128755	129000	915863	3581947	5
2021.06.21	11:00:00	128995	129850	128875	129695	632073	2596915	5
2021.06.21	12:00:00	129695	129860	129515	129590	380416	1553913	5
2021.06.21	13:00:00	129590	129740	129450	129585	325877	1381593	5
2021.06.21	14:00:00	129590	129760	129510	129705	333001	1398232	5
2021.06.21	15:00:00	129705	130230	129660	129945	447113	1939100	5
2021.06.21	16:00:00	129940	130050	129785	129990	322023	1388275	5
2021.06.21	17:00:00	129990	130040	129875	129900	137218	596000	5
2021.06.22	09:00:00	129915	129930	129225	129400	542275	2050444	5
2021.06.22	10:00:00	129405	129505	128580	128595	788506	3379247	5
2021.06.22	11:00:00	128600	128945	128480	128725	623776	2676271	5
2021.06.22	12:00:00	128730	129265	128710	129005	490736	2174609	5
2021.06.22	13:00:00	129005	129210	128835	129000	391672	1785444	5
2021.06.22	14:00:00	129000	129105	128640	128830	445419	2033909	5
2021.06.22	15:00:00	128830	129000	128675	128890	400973	1850000	5
2021.06.22	16:00:00	128890	129690	128885	129590	449710	2131520	5
2021.06.22	17:00:00	129590	129785	129430	129760	165160	682774	5
2021.06.23	09:00:00	129760	129890	129365	129470	517501	1803250	5
2021.06.23	10:00:00	129470	130600	129425	130595	847713	3493997	5
2021.06.23	11:00:00	130600	130645	130235	130310	430843	1863926	5
2021.06.23	12:00:00	130305	130480	130085	130210	384188	1690624	5
2021.06.23	13:00:00	130210	130230	129130	129155	507080	2284789	5
2021.06.23	14:00:00	129160	129470	129105	129420	366406	1652587	5
2021.06.23	15:00:00	129415	129470	128835	129275	404787	1913530	5
2021.06.23	16:00:00	129275	129430	128870	129100	360728	1773687	5
2021.06.23	17:00:00	129100	129295	129035	129240	160404	705324	5
2021.06.24	09:00:00	129685	130100	129620	130090	434567	1537796	5
2021.06.24	10:00:00	130090	130325	129655	129920	771331	3176630	5
2021.06.24	11:00:00	129920	130090	129525	129860	622324	2695712	5
2021.06.24	12:00:00	129860	130105	129500	130070	454955	1985963	5
2021.06.24	13:00:00	130075	130170	129765	130055	346470	1534678	5
2021.06.24	14:00:00	130050	130285	129955	130190	371342	1722929	5
2021.06.24	15:00:00	130195	130310	129670	129800	383534	1752851	5
2021.06.24	16:00:00	129800	130190	129795	130180	312907	1475578	5
2021.06.24	17:00:00	130175	130275	130105	130125	154224	626791	5
2021.06.25	09:00:00	130285	130410	129880	130160	553197	1965992	5
2021.06.25	10:00:00	130160	130450	129910	129980	741680	2952860	5
2021.06.25	11:00:00	129980	130090	129560	129595	540478	2317430	5
2021.06.25	12:00:00	129595	129640	129130	129450	443212	1991554	5
2021.06.25	13:00:00	129450	129530	129160	129230	301558	1358235	5
2021.06.25	14:00:00	129225	129250	128350	128690	561211	2526396	5
2021.06.25	15:00:00	128685	128780	127465	127565	623719	2891018	5
2021.06.25	16:00:00	127565	128135	127235	127930	502988	2315182	5
2021.06.25	17:00:00	127935	128145	127720	128145	199211	843098	5
2021.06.28	09:00:00	128045	128135	126945	127915	680324	2380958	5
2021.06.28	10:00:00	127915	128765	127835	128150	817965	3459818	5
2021.06.28	11:00:00	128150	128215	127280	127520	705004	2950599	5
2021.06.28	12:00:00	127520	127720	127330	127510	394418	1738819	5
2021.06.28	13:00:00	127515	127980	127270	127935	389434	1704836	5
2021.06.28	14:00:00	127935	128120	127550	128010	510229	2250881	5
2021.06.28	15:00:00	128010	128120	127660	128040	403643	1895342	5
2021.06.28	16:00:00	128035	128160	127680	128160	374805	1764353	5
2021.06.28	17:00:00	128160	128190	127925	128000	153730	628812	5
2021.06.29	09:00:00	127900	127995	127585	127880	498811	1853768	5
2021.06.29	10:00:00	127885	128100	127200	127205	843933	3842362	5
2021.06.29	11:00:00	127210	127360	126765	127320	684457	3018112	5
2021.06.29	12:00:00	127320	127775	127270	127595	514114	2361358	5
2021.06.29	13:00:00	127595	127710	127070	127275	391493	1784090	5
2021.06.29	14:00:00	127270	127610	127210	127520	411988	1876135	5
2021.06.29	15:00:00	127520	127715	127250	127670	347398	1760423	5
2021.06.29	16:00:00	127670	127920	127575	127875	320240	1563032	5
2021.06.29	17:00:00	127875	127985	127745	127775	160629	725451	5
2021.06.30	09:00:00	127400	127620	126930	127280	620561	2403032	5
2021.06.30	10:00:00	127280	127765	127115	127520	717070	3228656	5
2021.06.30	11:00:00	127520	127660	126915	127090	669154	3195728	5
2021.06.30	12:00:00	127085	127485	126750	127465	487875	2322033	5
2021.06.30	13:00:00	127465	127835	127400	127520	377481	1788983	5
2021.06.30	14:00:00	127520	127565	126910	127300	394034	1944881	5
2021.06.30	15:00:00	127305	127710	127110	127400	427621	2115349	5
2021.06.30	16:00:00	127400	127635	127215	127235	348951	1801304	5
2021.06.30	17:00:00	127235	127355	126985	126985	205389	911942	5
2021.07.01	09:00:00	127435	127640	127325	127445	443943	1649644	5
2021.07.01	10:00:00	127445	127735	126635	126760	1012081	4496838	5
2021.07.01	11:00:00	126765	126890	126055	126465	838294	3719776	5
2021.07.01	12:00:00	126460	126565	125720	126105	601665	2694883	5
2021.07.01	13:00:00	126105	126290	125855	126045	397051	1824556	5
2021.07.01	14:00:00	126045	126195	125515	125590	449815	2157054	5
2021.07.01	15:00:00	125590	125965	125485	125570	453525	2316570	5
2021.07.01	16:00:00	125575	126280	125565	126195	368570	1902332	5
2021.07.01	17:00:00	126190	126395	126055	126080	191875	859217	5
2021.07.02	09:00:00	126300	127225	126080	127140	720741	2453009	5
2021.07.02	10:00:00	127140	127385	126790	127265	746855	3106493	5
2021.07.02	11:00:00	127265	127620	126570	127480	780415	3326007	5
2021.07.02	12:00:00	127480	127760	127395	127670	389937	1757002	5
2021.07.02	13:00:00	127665	127790	127455	127615	284089	1376795	5
2021.07.02	14:00:00	127615	128070	127545	127985	337862	1566758	5
2021.07.02	15:00:00	127990	128330	127960	128145	347023	1709601	5
2021.07.02	16:00:00	128140	128310	128015	128300	270022	1385017	5
2021.07.02	17:00:00	128300	128430	128100	128420	145596	590681	5
2021.07.05	09:00:00	128000	128235	127755	128140	433734	1510941	5
2021.07.05	10:00:00	128140	128150	127300	127320	739539	2942154	5
2021.07.05	11:00:00	127320	127430	127015	127400	484948	2025355	5
2021.07.05	12:00:00	127400	127730	127355	127510	404908	1725925	5
2021.07.05	13:00:00	127515	127850	127510	127780	310291	1280110	5
2021.07.05	14:00:00	127780	127915	127350	127490	359226	1347969	5
2021.07.05	15:00:00	127490	127840	127150	127735	404096	1516574	5
2021.07.05	16:00:00	127730	127800	127410	127545	288815	1097747	5
2021.07.05	17:00:00	127545	127755	127365	127700	181771	681939	5
2021.07.06	09:00:00	127525	127625	126815	126890	679963	2518472	5
2021.07.06	10:00:00	126890	126925	126475	126675	828105	3564377	5
2021.07.06	11:00:00	126680	126710	125725	125770	819589	3676051	5
2021.07.06	12:00:00	125770	126275	125740	125955	513398	2235157	5
2021.07.06	13:00:00	125960	126060	125525	125710	460330	2059664	5
2021.07.06	14:00:00	125705	126010	125600	125730	442895	1894811	5
2021.07.06	15:00:00	125730	125730	125325	125600	458255	1994264	5
2021.07.06	16:00:00	125600	125740	125430	125470	324741	1461961	5
2021.07.06	17:00:00	125470	125580	125300	125360	133042	520474	5
2021.07.07	09:00:00	125980	126845	125900	126625	613872	2294708	5
2021.07.07	10:00:00	126625	126940	126270	126485	890756	3735977	5
2021.07.07	11:00:00	126485	126500	125670	126220	716740	3261932	5
2021.07.07	12:00:00	126215	126970	126180	126770	528059	2472736	5
2021.07.07	13:00:00	126770	127265	126590	127180	419312	1958234	5
2021.07.07	14:00:00	127175	127455	127045	127395	351994	1651638	5
2021.07.07	15:00:00	127395	127745	127240	127550	424357	2061620	5
2021.07.07	16:00:00	127545	127685	127385	127635	300167	1446990	5
2021.07.07	17:00:00	127635	127720	127395	127395	137948	602446	5
2021.07.08	09:00:00	125680	125690	124925	125055	694813	2506844	5
2021.07.08	10:00:00	125060	125835	124970	125400	906614	3697829	5
2021.07.08	11:00:00	125400	125410	124725	125305	878392	3442770	5
2021.07.08	12:00:00	125300	126260	125295	126195	603038	2598220	5
2021.07.08	13:00:00	126195	126310	125940	126180	357847	1578435	5
2021.07.08	14:00:00	126180	126440	125610	125800	461847	1972037	5
2021.07.08	15:00:00	125800	125865	125260	125700	467066	2096270	5
2021.07.08	16:00:00	125705	125940	125345	125910	451100	2064362	5
2021.07.08	17:00:00	125915	125925	125675	125700	186013	719881	5
2021.07.12	09:00:00	126550	126825	126160	126585	470003	1661894	5
2021.07.12	10:00:00	126585	127115	126560	126940	787020	3353418	5
2021.07.12	11:00:00	126945	127225	126730	127165	657843	2903916	5
2021.07.12	12:00:00	127165	127690	127035	127630	446591	2188915	5
2021.07.12	13:00:00	127625	127975	127560	127905	322136	1635620	5
2021.07.12	14:00:00	127905	128230	127835	128135	319343	1622898	5
2021.07.12	15:00:00	128130	128320	128070	128165	300556	1603179	5
2021.07.12	16:00:00	128170	128245	128055	128100	292442	1557843	5
2021.07.12	17:00:00	128100	128500	128040	128500	159969	776238	5
2021.07.13	09:00:00	128175	128195	127425	127455	640921	2360507	5
2021.07.13	10:00:00	127455	127890	127240	127320	863589	3636172	5
2021.07.13	11:00:00	127320	127825	126925	126985	701398	3176534	5
2021.07.13	12:00:00	126985	127535	126820	127530	494659	2315431	5
2021.07.13	13:00:00	127530	128175	127345	127935	454088	2073073	5
2021.07.13	14:00:00	127940	128740	127935	128665	572905	2740521	5
2021.07.13	15:00:00	128665	128945	128480	128780	388859	2007541	5
2021.07.13	16:00:00	128780	128925	128525	128645	326682	1744250	5
2021.07.13	17:00:00	128645	128990	128585	128820	134461	616658	5
2021.07.14	09:00:00	128930	129765	128720	129615	731192	2696257	5
2021.07.14	10:00:00	129615	130140	129390	129690	845737	3679007	5
2021.07.14	11:00:00	129690	129860	129115	129125	708343	3079155	5
2021.07.14	12:00:00	129120	129295	128550	128850	540627	2587750	5
2021.07.14	13:00:00	128850	129285	128785	128940	460933	2180131	5
2021.07.14	14:00:00	128940	129050	128530	128700	533811	2550873	5
2021.07.14	15:00:00	128705	129165	128635	129135	444430	2205486	5
2021.07.14	16:00:00	129130	129195	128665	128905	377368	1908574	5
2021.07.14	17:00:00	128900	129090	128755	129000	171568	788026	5
2021.07.15	09:00:00	128570	128990	128375	128610	641209	2329089	5
2021.07.15	10:00:00	128610	129485	128465	128965	1002280	4249491	5
2021.07.15	11:00:00	128965	129380	128675	128840	705584	2998975	5
2021.07.15	12:00:00	128840	128855	128040	128135	532054	2457513	5
2021.07.15	13:00:00	128135	128255	127850	128180	457120	2190204	5
2021.07.15	14:00:00	128180	128195	127430	127435	506893	2427367	5
2021.07.15	15:00:00	127435	127950	127305	127860	441697	2179943	5
2021.07.15	16:00:00	127860	128090	127730	127980	353788	1762517	5
2021.07.15	17:00:00	127985	128060	127820	128045	127275	533933	5
2021.07.16	09:00:00	128145	128480	128090	128415	591835	2000863	5
2021.07.16	10:00:00	128415	128530	127765	127950	757337	2997593	5
2021.07.16	11:00:00	127950	128170	127625	128145	702114	2978052	5
2021.07.16	12:00:00	128145	128150	127575	127675	461319	2025276	5
2021.07.16	13:00:00	127675	127725	127435	127605	348753	1582641	5
2021.07.16	14:00:00	127610	127690	127165	127240	422573	1975070	5
2021.07.16	15:00:00	127240	127250	126885	126960	376710	1802915	5
2021.07.16	16:00:00	126965	126990	126180	126370	456015	2226371	5
2021.07.16	17:00:00	126365	126490	126240	126455	181868	789599	5
2021.07.19	09:00:00	124750	124990	124250	124480	712089	2433713	5
2021.07.19	10:00:00	124475	125080	124395	124735	956264	3670376	5
2021.07.19	11:00:00	124735	124750	123985	124065	886022	3604328	5
2021.07.19	12:00:00	124060	124735	123980	124570	585933	2478116	5
2021.07.19	13:00:00	124570	124570	123800	123935	520006	2208444	5
2021.07.19	14:00:00	123935	124185	123660	123750	572940	2552947	5
2021.07.19	15:00:00	123750	124280	123725	124060	475790	2170729	5
2021.07.19	16:00:00	124055	124745	123990	124730	450147	2109412	5
2021.07.19	17:00:00	124730	125190	124605	125060	219493	991890	5
2021.07.20	09:00:00	125680	125805	124660	124785	646550	2275050	5
2021.07.20	10:00:00	124780	124985	123905	124960	1051072	4517677	5
2021.07.20	11:00:00	124955	125480	124820	125205	802510	3456031	5
2021.07.20	12:00:00	125205	125300	124760	125025	552754	2441132	5
2021.07.20	13:00:00	125020	125440	124710	125385	512457	2320785	5
2021.07.20	14:00:00	125390	125430	124800	125140	451742	2107411	5
2021.07.20	15:00:00	125140	125975	125025	125920	495350	2411338	5
2021.07.20	16:00:00	125925	126060	125585	125615	357743	1732426	5
2021.07.20	17:00:00	125620	125890	125580	125580	168022	698359	5
2021.07.21	09:00:00	125750	126130	125530	125750	641797	2392330	5
2021.07.21	10:00:00	125750	126490	125625	126420	888231	3627774	5
2021.07.21	11:00:00	126415	126480	125550	125855	691488	2941940	5
2021.07.21	12:00:00	125850	126200	125720	126090	567673	2351570	5
2021.07.21	13:00:00	126090	126300	125955	126090	345352	1496298	5
2021.07.21	14:00:00	126090	126340	126000	126095	347332	1512354	5
2021.07.21	15:00:00	126095	126265	125730	126205	377422	1818993	5
2021.07.21	16:00:00	126205	126500	126130	126325	345969	1693767	5
2021.07.21	17:00:00	126325	126510	126260	126425	134688	613460	5
2021.07.22	09:00:00	126450	126690	125950	126255	586713	2179530	5
2021.07.22	10:00:00	126250	126425	125830	125895	821306	3409954	5
2021.07.22	11:00:00	125890	126140	125690	125820	593486	2570668	5
2021.07.22	12:00:00	125820	126085	125735	125890	393956	1832791	5
2021.07.22	13:00:00	125890	126270	125885	126135	339730	1691840	5
2021.07.22	14:00:00	126135	126620	125980	126585	349202	1732421	5
2021.07.22	15:00:00	126585	126820	126530	126650	355483	1790939	5
2021.07.22	16:00:00	126645	126670	126370	126600	283283	1469775	5
2021.07.22	17:00:00	126605	126710	126570	126575	128836	584910	5
2021.07.23	09:00:00	126900	126945	126420	126615	423692	1534629	5
2021.07.23	10:00:00	126610	126620	125840	125885	690187	2956536	5
2021.07.23	11:00:00	125885	126010	125725	125955	467020	2029486	5
2021.07.23	12:00:00	125955	125975	125110	125485	458649	2092192	5
2021.07.23	13:00:00	125485	125610	125010	125045	299840	1411396	5
2021.07.23	14:00:00	125050	125435	124885	125295	378548	1821491	5
2021.07.23	15:00:00	125295	125385	124685	125065	384235	1957214	5
2021.07.23	16:00:00	125060	125340	124970	125290	292333	1500787	5
2021.07.23	17:00:00	125285	125420	124935	124985	169729	724635	5
2021.07.26	09:00:00	125110	125385	125015	125315	429272	1582895	5
2021.07.26	10:00:00	125315	126295	125215	126260	688823	3047328	5
2021.07.26	11:00:00	126255	126440	126125	126430	477367	2257800	5
2021.07.26	12:00:00	126430	126580	126320	126365	298529	1444652	5
2021.07.26	13:00:00	126365	126470	126230	126370	279263	1399029	5
2021.07.26	14:00:00	126370	126390	126080	126215	321942	1612732	5
2021.07.26	15:00:00	126215	126455	126105	126115	307304	1675874	5
2021.07.26	16:00:00	126120	126325	125940	126320	330672	1743649	5
2021.07.26	17:00:00	126320	126320	126080	126215	111087	543673	5
2021.07.27	09:00:00	125865	125955	125440	125605	432945	1645633	5
2021.07.27	10:00:00	125605	125865	125040	125230	825855	3476194	5
2021.07.27	11:00:00	125230	125370	124830	125200	656841	2929589	5
2021.07.27	12:00:00	125200	125350	124430	124575	496059	2378712	5
2021.07.27	13:00:00	124580	124590	124200	124295	390449	1875329	5
2021.07.27	14:00:00	124295	124345	123945	124080	371413	1835791	5
2021.07.27	15:00:00	124080	124590	124030	124535	354025	1823334	5
2021.07.27	16:00:00	124535	125010	124495	124995	306198	1582686	5
2021.07.27	17:00:00	124995	124995	124715	124765	142486	699542	5
2021.07.28	09:00:00	125260	125815	125245	125590	447220	1617745	5
2021.07.28	10:00:00	125590	126295	125570	126195	826397	3575455	5
2021.07.28	11:00:00	126195	126310	125240	125480	646227	2946096	5
2021.07.28	12:00:00	125475	125920	125420	125875	452887	2107722	5
